frame,NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,TOE_x,TOE_y,TOE_z,HOSEL_x,HOSEL_y,HOSEL_z,GRIP_x,GRIP_y,GRIP_z
478,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
479,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
480,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
481,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
482,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
483,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
484,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
485,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
486,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
487,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
488,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
489,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
490,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
491,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
492,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
493,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
494,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
495,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
496,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
497,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
498,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
499,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
500,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
501,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
502,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
503,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
504,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
505,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
506,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
507,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
508,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
509,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
510,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153,-13.6504965,-22.202496,-0.026132153
